# mesh name: BraggMesh
# primitive scorer name: edep
# iX, iY, iZ, total(value) [MeV], total(val^2), entry
0,0,0,11415669.99057073,135885628.5000708,1000000
1,0,0,11507226.46541159,139584288.804229,1000000
2,0,0,11560340.37433442,141007950.4293594,1000000
3,0,0,11638390.47654808,143586961.9857755,1000000
4,0,0,11683611.99287956,144142094.2582044,1000000
5,0,0,11757207.86657157,146202894.422972,1000000
6,0,0,11804377.13007016,147241465.4921166,1000000
7,0,0,11876394.66155494,148924638.0930035,1000000
8,0,0,11931815.24766343,150920192.4529837,1000000
9,0,0,12007233.86504622,152462130.6098916,1000000
10,0,0,12060102.45492954,153879903.3103425,1000000
11,0,0,12137200.50442415,155602835.2486763,1000000
12,0,0,12195876.93696794,157675616.4407542,1000000
13,0,0,12278205.60284592,159323641.4154606,1000000
14,0,0,12339165.45992631,161182475.6991134,1000000
15,0,0,12428386.76434246,163704010.1665904,1000000
16,0,0,12490704.34582165,165371447.4763944,1000000
17,0,0,12583760.92932146,167839606.5948623,1000000
18,0,0,12648816.60088244,169794188.4000277,1000000
19,0,0,12746079.46775915,172264138.2254803,1000000
20,0,0,12816318.18204242,174126452.7279227,1000000
21,0,0,12925577.32166289,177793177.2574035,1000000
22,0,0,12994562.76733866,179454541.2533394,1000000
23,0,0,13098672.5074899,182166482.0559169,1000000
24,0,0,13180472.52192202,184919293.7831756,1000000
25,0,0,13294286.04668363,188060784.5298736,1000000
26,0,0,13379302.86583849,190577244.9530476,1000000
27,0,0,13503905.12214131,194710549.3964865,1000000
28,0,0,13587177.74268102,196752444.7902255,1000000
29,0,0,13717968.15825699,200781249.9925417,1000000
30,0,0,13816143.73676308,204005714.581519,1000000
31,0,0,13948160.61710797,207340363.7885569,1000000
32,0,0,14050885.77218436,210601607.7036112,1000000
33,0,0,14197454.42148363,215021403.7309072,999999
34,0,0,14309681.23627579,218886407.960368,999999
35,0,0,14465183.85465024,222975245.1387444,999999
36,0,0,14584524.45858283,227000940.6499014,999999
37,0,0,14755861.25087115,232001348.0871352,999999
38,0,0,14898191.0823395,237837045.3684394,999999
39,0,0,15076682.03192667,242565555.3501883,999998
40,0,0,15230553.24992833,248549409.8069808,999998
41,0,0,15433877.10558979,255447278.4560876,999998
42,0,0,15599396.47982419,261161300.8758863,999997
43,0,0,15817618.9689916,268414314.1157216,999995
44,0,0,16019322.71665746,275039298.0634094,999990
45,0,0,16246298.25792913,283461770.4853567,999988
46,0,0,16577731.15032595,295799570.0279223,999988
47,0,0,16732922.66531576,301476427.3345293,999986
48,0,0,17107264.26814611,315075477.416705,999983
49,0,0,17394819.55611642,326320394.3793582,999979
50,0,0,17712788.5971997,338919274.2253213,999971
51,0,0,18046831.87899264,352344129.5808596,999966
52,0,0,18412826.20598445,367492856.3584846,999953
