# mesh name: BraggMesh
# primitive scorer name: edep
# iX, iY, iZ, total(value) [MeV], total(val^2), entry
0,0,0,11398942.1947308,135561678.1093616,1000000
1,0,0,11488108.86668518,139204800.083841,1000000
2,0,0,11541454.3785053,140648085.0523299,1000000
3,0,0,11618443.8777213,142848964.5043014,1000000
4,0,0,11665868.74427246,144021052.289394,1000000
5,0,0,11739585.20902701,146008258.3134744,1000000
6,0,0,11787230.88339717,147102620.6921331,1000000
7,0,0,11863015.44848221,149236298.2325135,1000000
8,0,0,11912888.04179656,150184716.8392251,1000000
9,0,0,11988079.52387275,151943938.9796343,1000000
10,0,0,12041302.77597704,153366053.5335594,1000000
11,0,0,12119289.13255203,155090875.4117174,1000000
12,0,0,12178150.77862204,157050418.9771006,1000000
13,0,0,12254832.70741216,158439628.3298356,1000000
14,0,0,12314703.3817569,159953202.6874732,1000000
15,0,0,12407468.34873201,162841822.5568655,1000000
16,0,0,12468444.36583014,164519516.9149978,1000000
17,0,0,12564659.31177352,167283740.1134932,1000000
18,0,0,12628609.81400269,168783029.7108673,1000000
19,0,0,12724283.87141528,171595759.598442,1000000
20,0,0,12791456.24295251,173126505.525622,1000000
21,0,0,12896488.67726926,176507671.1888559,1000000
22,0,0,12975610.63896256,179372175.3540342,1000000
23,0,0,13077101.01214937,181908462.1313972,1000000
24,0,0,13158373.68605867,184323696.2249668,1000000
25,0,0,13268406.9493149,187155868.3296114,1000000
26,0,0,13351924.48160895,189685790.0621254,1000000
27,0,0,13474310.61217156,193663514.7868544,1000000
28,0,0,13558678.64280767,196123552.9952504,1000000
29,0,0,13687290.70225187,199793382.1328962,1000000
30,0,0,13777561.38202104,202107902.5379212,1000000
31,0,0,13915477.71510447,206324726.4236484,1000000
32,0,0,14020552.7953537,209840788.7063002,1000000
33,0,0,14166175.87627367,214055479.2180707,1000000
34,0,0,14278475.49960946,217541188.3724687,1000000
35,0,0,14433998.22562829,222200918.2716191,1000000
36,0,0,14557181.45500965,226216582.6072814,1000000
37,0,0,14729914.66497071,231428044.5667747,1000000
38,0,0,14868119.51130852,236401397.9187115,1000000
39,0,0,15053213.97089486,241720517.9068559,1000000
40,0,0,15209926.27094269,247973173.7553095,1000000
41,0,0,15414856.98751677,254809136.7384115,1000000
42,0,0,15578364.12515434,260479648.0844771,1000000
43,0,0,15795346.69175846,267222242.1780463,1000000
44,0,0,15987211.9765997,274328440.5122862,999998
45,0,0,16225186.67643032,282565665.8978016,999996
46,0,0,16434147.66799115,290253779.5552837,999995
47,0,0,16709488.86924642,300849691.4150469,999993
48,0,0,16909357.84220807,308037202.3674224,999985
49,0,0,17189836.3939358,318576757.5930526,999981
50,0,0,17509205.97311839,330819693.0853922,999977
51,0,0,17856026.12837039,344593500.79206,999972
52,0,0,18262583.39382648,361732175.4219362,999961
53,0,0,18677871.54409403,378689290.3325827,999947
54,0,0,19133707.4117813,397765218.904346,999911
55,0,0,19601780.71224782,418848326.4249586,999873
56,0,0,20079609.33566145,440603570.659784,999818
57,0,0,20591409.65720227,464813924.8220206,999753
58,0,0,21177475.7498951,494741773.6526183,999688
59,0,0,21835376.11187581,528010131.8342974,999560
60,0,0,22610149.24947624,567670630.2332988,999384
61,0,0,23487356.78184739,615205687.8222646,999163
62,0,0,24495003.47192283,671392096.6694256,998885
63,0,0,25573396.46598676,735503780.7145269,998506
64,0,0,26816711.14028215,812320151.8291378,997977
65,0,0,28336041.93316179,911077345.4501319,997231
66,0,0,30301745.46268316,1045500128.45951,996249
67,0,0,32669531.22377091,1220302902.647133,994954
68,0,0,36042094.28105157,1494237222.060551,993494
69,0,0,41035539.36928618,1951171140.607868,991759
70,0,0,50240638.74293259,2966093141.270267,989868
71,0,0,78956719.41853774,7682873504.087011,988079
72,0,0,41208184.81773354,2811934757.830477,839404
73,0,0,1748779.425630539,37840087.23303413,187259
74,0,0,1665773.046299241,35517876.06517367,184881
75,0,0,1590835.11652147,33296505.72367259,182823
76,0,0,1523269.380105193,31517405.15509098,180799
77,0,0,1456892.681997366,29582167.94406163,178807
78,0,0,1390101.091270802,27447026.32248698,176874
79,0,0,1330336.544150761,25489901.5247663,175031
80,0,0,1275935.505887558,23840045.51542938,173209
81,0,0,1222323.447050001,21880556.82962106,171435
82,0,0,1177099.579787485,20497887.16927242,169881
83,0,0,1130067.387685455,18852842.91769239,168247
84,0,0,1089964.05193198,17653787.89575491,166619
85,0,0,1051634.664360101,16267534.16680492,165137
86,0,0,1018854.379191187,15346701.7901552,163736
87,0,0,984369.0446474073,14054162.16742812,162378
88,0,0,952574.4570493295,13185682.59921153,160973
89,0,0,924252.4216933448,12196446.83432483,159679
90,0,0,895195.1517477512,11287514.98393262,158376
91,0,0,871781.4437471929,10481913.92195077,157224
92,0,0,849268.9460960731,9786613.62817066,156054
93,0,0,825293.3307076163,8889381.39910968,154842
94,0,0,805611.3725771951,8294890.439326208,153739
95,0,0,789094.3591503316,7887986.741268943,152685
96,0,0,775227.1365005679,7640003.185818236,151660
97,0,0,762490.2666734845,7379201.016973934,150659
98,0,0,751500.2531247269,7269738.118787725,149630
99,0,0,740165.2943413684,7056305.203466454,148590
100,0,0,731406.4038558302,6986643.937338173,147665
101,0,0,719889.7054844472,6815172.585367696,146679
102,0,0,709342.5458477754,6694338.951513227,145716
103,0,0,700677.7658682615,6621350.171969797,144724
104,0,0,689421.4477393696,6428304.423666451,143800
105,0,0,679553.290068825,6301544.63434059,142874
106,0,0,670436.6069765365,6196664.222777151,141880
107,0,0,659804.7144502262,6067155.945630534,140924
108,0,0,650114.0979727984,5956794.396239132,139940
109,0,0,641010.0175000222,5859417.548806014,138991
110,0,0,629903.3417585797,5674494.95438527,138036
111,0,0,621960.9635779166,5610322.840919637,137191
112,0,0,613764.2819432078,5519551.651187898,136259
113,0,0,603996.9210739529,5399715.605726817,135291
114,0,0,594627.9159560044,5300448.367808346,134359
115,0,0,586637.473389679,5214421.4257772,133436
116,0,0,578654.9924425399,5193093.746654438,132511
117,0,0,569505.8307241247,5032992.685299132,131597
118,0,0,561769.7273530755,4962172.300474968,130614
119,0,0,552445.9748360727,4834600.411865382,129709
120,0,0,544381.8037203611,4756734.570643005,128802
121,0,0,537851.3988271812,4727357.720010588,127925
122,0,0,527961.6754247119,4567646.629040613,127068
123,0,0,520657.3750130351,4489155.416383457,126188
124,0,0,513872.337213545,4446080.209454338,125374
125,0,0,506260.2336776209,4358571.698271396,124470
126,0,0,498252.5004500897,4268249.872924039,123588
127,0,0,491494.5210262708,4244723.889796449,122694
128,0,0,481772.9739808375,4081821.729389636,121820
129,0,0,474610.8015568039,4020141.238857074,121017
130,0,0,468978.7682850334,3999182.027542859,120178
131,0,0,461655.9137408815,3878179.849088241,119355
132,0,0,454124.9326486574,3794724.723429521,118576
133,0,0,447703.929572362,3731042.75956084,117717
134,0,0,440604.944044282,3669469.397306202,116894
135,0,0,434171.7764532098,3614830.076337548,116077
136,0,0,427518.2871899864,3589655.12942474,115260
137,0,0,421856.2486915004,3511275.228812164,114489
138,0,0,413579.1488708814,3391996.823780087,113638
139,0,0,406835.5903638855,3307239.39399541,112900
140,0,0,400954.4092362453,3255230.032999139,112076
141,0,0,394228.4776065723,3181245.693658497,111303
142,0,0,388617.8491549328,3145269.816687778,110436
143,0,0,383642.6072898461,3131823.935193365,109676
144,0,0,376149.0464060506,3020978.989409512,108865
145,0,0,369629.4864077961,2943233.681797136,108158
146,0,0,364940.0035598745,2929698.676370248,107400
147,0,0,359054.0747022092,2872285.868271594,106654
148,0,0,352158.9886207758,2773876.160108727,105971
149,0,0,346408.985738594,2711353.798232584,105130
150,0,0,340625.175288162,2653670.415394576,104461
151,0,0,335366.3918461987,2588448.848049309,103696
152,0,0,331041.0798497679,2570539.087194284,103042
153,0,0,326825.252129168,2551904.354272095,102230
154,0,0,319709.7882844454,2477412.463696918,101394
155,0,0,313837.4907879272,2406509.135363987,100630
156,0,0,309002.3627614477,2388334.272968935,99853
157,0,0,303444.5759741287,2317747.396246736,99095
158,0,0,298951.2124244545,2280147.078569785,98434
159,0,0,294372.3169421687,2255050.179795,97672
