# mesh name: BraggMesh
# primitive scorer name: edep
# iX, iY, iZ, total(value) [MeV], total(val^2), entry
0,0,0,6864541.989515982,50341709.72349916,1000000
1,0,0,6998632.614246543,52945892.35490496,1000000
2,0,0,7055229.521150729,53980577.22274902,1000000
3,0,0,7075550.476475926,54444784.49498249,1000000
4,0,0,7088170.230065298,55064170.2905065,1000000
5,0,0,7093780.175275489,55077921.38984849,1000000
6,0,0,7097091.878778405,55053904.81704199,1000000
7,0,0,7099484.261203626,54891014.9655661,1000000
8,0,0,7106643.318629953,55286125.00842541,1000000
9,0,0,7113114.379164456,55698632.63627212,1000000
10,0,0,7113440.446127185,55319395.44643676,1000000
11,0,0,7117396.851243202,55410346.35214587,1000000
12,0,0,7118492.68268073,55363387.07199097,1000000
13,0,0,7121536.897528205,55457988.40374563,1000000
14,0,0,7128991.772679402,55765111.97874434,1000000
15,0,0,7130005.360904439,55607591.98446489,1000000
16,0,0,7131987.274171502,55631004.91652441,1000000
17,0,0,7143051.71428558,56049205.27657542,1000000
18,0,0,7143664.500913765,56061824.05763013,1000000
19,0,0,7149145.807716092,56136465.75528696,1000000
20,0,0,7152354.941562334,56276157.21947385,1000000
21,0,0,7152073.104466734,56047981.08036447,1000000
22,0,0,7158727.103216736,56517327.52699061,1000000
23,0,0,7164369.191204276,56759470.26075058,1000000
24,0,0,7169558.6570058,56919911.78798354,1000000
25,0,0,7174841.086394552,57017579.90447918,1000000
26,0,0,7177096.762230989,57122139.00980125,1000000
27,0,0,7179825.860921631,57101327.9712046,1000000
28,0,0,7184548.326041861,57253264.66090744,1000000
29,0,0,7186177.930990013,57140738.62006427,1000000
30,0,0,7186362.413994682,57099728.93797041,1000000
31,0,0,7193318.690497348,57404531.03521564,1000000
32,0,0,7192749.291080296,57099519.56289522,1000000
33,0,0,7197756.43347366,57267984.70889378,1000000
34,0,0,7200216.761121619,57459398.87555507,1000000
35,0,0,7206914.807624147,57765936.78970903,1000000
36,0,0,7209232.670058318,57722559.38901629,1000000
37,0,0,7213048.04637431,57974062.62573372,1000000
38,0,0,7216424.570294843,57883682.88204065,1000000
39,0,0,7216135.777865525,57640089.88519108,1000000
40,0,0,7219802.342773824,57766931.2211147,1000000
41,0,0,7223668.636818925,58037232.57255274,1000000
42,0,0,7231094.369917598,58233035.97700166,1000000
43,0,0,7239193.557768403,58828516.88936015,1000000
44,0,0,7240694.123163812,58508835.28907442,1000000
45,0,0,7243347.489865809,58340031.59949175,1000000
46,0,0,7248289.407963692,58730575.82984453,1000000
47,0,0,7251429.553904951,58665873.90401432,1000000
48,0,0,7255123.929050657,58774272.31754284,1000000
49,0,0,7261287.528646283,59017364.57836735,1000000
50,0,0,7268363.290519039,59391146.53119302,1000000
51,0,0,7272874.120920321,59597911.25215596,1000000
52,0,0,7276734.898834822,59649611.43108821,1000000
53,0,0,7282186.444037416,59720719.1458909,1000000
54,0,0,7283721.502123603,59592053.86527352,1000000
55,0,0,7286638.490166784,59595344.08165711,1000000
56,0,0,7291766.43771841,59770560.8265883,1000000
57,0,0,7299681.131439414,59978757.8960567,1000000
58,0,0,7303380.118098205,60022402.98114531,1000000
59,0,0,7309944.539968052,60318308.98320802,1000000
60,0,0,7318006.352795998,60760517.76843882,1000000
61,0,0,7317056.811751904,60344410.22300197,1000000
