# mesh name: BraggMesh
# primitive scorer name: edep
# iX, iY, iZ, total(value) [MeV], total(val^2), entry
0,0,0,11417090.41091633,136043729.6173689,1000000
1,0,0,11507232.7879738,139578914.0606486,1000000
2,0,0,11563622.52361854,141595045.7941031,1000000
3,0,0,11634679.83016642,143275615.5578728,1000000
4,0,0,11687419.55424018,144808721.7982449,1000000
5,0,0,11759490.78182396,146617947.9116729,1000000
6,0,0,11806641.25465154,147554494.6045101,1000000
7,0,0,11876943.43890207,148909417.3616945,1000000
8,0,0,11928661.22009257,150315453.880102,1000000
9,0,0,12002570.89031835,151728745.9406139,1000000
10,0,0,12061184.84289716,153858178.1639739,1000000
11,0,0,12139608.57481929,155745966.5883491,1000000
12,0,0,12199821.43457398,157671315.2133362,1000000
13,0,0,12281461.75339117,159572792.0278313,1000000
14,0,0,12341124.16167068,161281317.6326522,1000000
15,0,0,12430778.10495069,163698114.7453913,1000000
16,0,0,12491163.17754964,165176392.9655294,1000000
17,0,0,12583030.00123703,167428458.2468711,1000000
18,0,0,12647143.78913835,169332510.7298945,1000000
19,0,0,12741828.53263135,171794606.4108974,1000000
20,0,0,12815410.96213065,174362505.093867,1000000
21,0,0,12923174.25969042,177492653.5876452,1000000
22,0,0,12994111.73034294,179295734.1761087,1000000
23,0,0,13101838.08744517,182630515.9874377,1000000
24,0,0,13184218.47827632,185233183.2914238,1000000
25,0,0,13294563.38431553,187914924.6900834,1000000
26,0,0,13377361.54923522,190410417.3891723,1000000
27,0,0,13505323.78799786,194766225.1090391,1000000
28,0,0,13585426.94512921,196375006.9196111,1000000
29,0,0,13717331.30138413,200646568.2667538,1000000
30,0,0,13808765.91225021,202993764.4797499,1000000
31,0,0,13948779.26275334,207659045.8432601,1000000
32,0,0,14048951.96751789,210519025.2082605,1000000
33,0,0,14197269.53740499,215032532.4158753,1000000
34,0,0,14305893.63655903,218265014.925191,1000000
35,0,0,14462746.56975993,222877168.8293909,1000000
36,0,0,14584151.26158661,226907171.6058671,1000000
37,0,0,14758450.75831065,232396896.6101567,1000000
38,0,0,14894713.74146072,237533192.7968971,1000000
39,0,0,15076570.61992141,242733239.9495051,1000000
40,0,0,15228474.61559692,248394984.7989444,1000000
41,0,0,15432799.88618034,254971359.1787793,1000000
42,0,0,15597826.18860552,261069114.7594444,1000000
43,0,0,15818667.06413546,268191680.4815855,999999
44,0,0,16025067.27808024,275493444.7159911,999998
45,0,0,16252705.90049554,283877872.7291436,999997
46,0,0,16577075.38313655,295276076.124675,999994
47,0,0,16734797.87434626,301165619.2817269,999992
48,0,0,17110798.01128606,315243995.580642,999988
49,0,0,17400605.77597342,326579574.9898657,999987
50,0,0,17711715.16261323,338452430.1783386,999983
51,0,0,18046959.01291804,351992677.5623587,999971
52,0,0,18415734.60233068,367563521.8801713,999962
53,0,0,18804425.19823113,384057006.1735307,999946
54,0,0,19229213.86730179,402367086.2047389,999926
55,0,0,19681984.68895889,422309460.9659907,999895
56,0,0,20185756.71805043,444970069.602973,999847
57,0,0,20740958.88608749,471974536.28411,999798
58,0,0,21373038.24818482,503966256.9119942,999716
59,0,0,22055916.13767376,539097922.5779579,999587
60,0,0,22820441.07462512,579206339.863818,999425
61,0,0,23665436.4677092,625080365.605459,999223
62,0,0,24651039.24539933,680597923.9487336,998893
63,0,0,25782579.05781301,747752220.3999994,998481
64,0,0,27109604.94937176,830262366.587787,997938
65,0,0,28664215.46701866,932507482.4160089,997212
66,0,0,30604077.84858875,1067353702.845045,996125
67,0,0,33020756.08547943,1247006953.422956,994877
68,0,0,36560079.44437289,1538017322.599153,993334
69,0,0,42043095.72544966,2050906019.242994,991599
70,0,0,52233696.34266933,3215053390.854159,989786
71,0,0,85010415.53157601,8869980592.943649,987965
72,0,0,26787401.94450306,1542708966.639698,714003
73,0,0,1734123.719057685,37325668.39397114,186803
74,0,0,1657427.108810325,35041272.3526138,184691
75,0,0,1586548.151161538,33393892.62209991,182637
76,0,0,1516650.313854496,31469071.64915925,180523
77,0,0,1443504.621097025,29017990.43051526,178465
78,0,0,1380857.490608171,27165327.17287367,176549
79,0,0,1313718.424720776,24577355.90084805,174699
80,0,0,1261090.918443732,23054582.33084252,172690
81,0,0,1212396.967819903,21509795.19257568,170971
82,0,0,1165521.747077005,20020851.99193429,169293
83,0,0,1122205.189249388,18571981.00674734,167703
84,0,0,1084844.886073801,17514990.31718797,166168
85,0,0,1050559.822727322,16443325.90445533,164745
86,0,0,1013783.4434586,15166902.50407472,163341
87,0,0,978902.6214100695,14043112.49417111,161871
88,0,0,948905.2565560665,13262649.90267486,160428
89,0,0,918608.046284528,12187622.36388212,159172
90,0,0,892374.7009503588,11258868.47600746,158039
91,0,0,867438.0817351082,10446278.30989885,156776
92,0,0,842337.1265653085,9506513.695605224,155569
93,0,0,823002.8625501494,8944627.590592485,154429
94,0,0,802106.7173184183,8206742.087630343,153284
95,0,0,786799.786014192,7880156.793049417,152180
96,0,0,773198.5400041683,7587566.457581937,151131
97,0,0,760918.4776312284,7411991.139741712,150115
98,0,0,747822.4107741854,7109122.307990156,149086
99,0,0,737310.5066472605,7016107.806088766,148092
100,0,0,727172.8580876812,6883081.113708507,147228
101,0,0,716749.4048167819,6766890.973153716,146229
102,0,0,707751.2897431426,6709313.083653379,145357
103,0,0,698230.1164435354,6610050.124242336,144365
104,0,0,687318.4986412603,6427017.916258163,143436
105,0,0,677326.6736488397,6291653.419893196,142405
106,0,0,668105.6020533496,6185230.310237164,141446
107,0,0,656172.131085616,5986415.882887473,140489
108,0,0,647096.8026358988,5931308.779749862,139475
109,0,0,638542.6300678647,5835738.331843112,138583
110,0,0,628799.2839559912,5739681.622746232,137626
111,0,0,618986.4752900616,5610453.748810662,136582
112,0,0,607379.6193243077,5399877.235163174,135690
113,0,0,600224.3563902336,5350258.122858183,134731
114,0,0,594016.4099133668,5347587.736848535,133871
115,0,0,584881.4584830593,5216298.948551285,132924
116,0,0,575197.0558684217,5066833.39415765,131977
117,0,0,567129.7728364784,5019061.302939868,131107
118,0,0,559252.1198283912,4925603.631682048,130297
119,0,0,552665.5463815364,4908861.626361603,129334
120,0,0,544945.012428948,4814772.142370978,128508
121,0,0,535483.6212232567,4642400.868879001,127637
122,0,0,528279.1282580005,4598871.631861277,126732
123,0,0,519937.3328193013,4515226.116030466,125850
124,0,0,511276.6401727805,4397819.434769053,124961
125,0,0,504672.2570691034,4368595.812238994,124118
126,0,0,496750.3426494583,4238742.548604691,123336
127,0,0,490597.5736980999,4204414.452582525,122499
128,0,0,484841.5301746096,4162853.599960434,121680
129,0,0,476391.4869863049,4050590.377372575,120876
130,0,0,469070.0090050282,3958046.679227437,119993
131,0,0,461375.6593315428,3899818.877879717,119162
132,0,0,454341.3774908813,3823075.176739348,118243
133,0,0,446019.7012278193,3704627.460159237,117443
134,0,0,441567.3043322583,3711201.491363944,116696
135,0,0,433818.2291610591,3605591.484573678,115933
136,0,0,427285.130904342,3540530.462510559,115102
137,0,0,419981.3321905998,3440050.524705692,114257
138,0,0,413995.888579206,3394727.742212251,113485
139,0,0,407539.1289479684,3355133.780925152,112631
140,0,0,400420.3584715213,3265734.783215817,111753
141,0,0,394822.4239533297,3224072.562478329,110990
