# mesh name: BraggMesh
# primitive scorer name: edep
# iX, iY, iZ, total(value) [MeV], total(val^2), entry
0,0,0,6865475.542724985,49958784.32347971,1000000
1,0,0,7006857.808270931,53230985.97235987,1000000
2,0,0,7058579.497824596,54160535.7260443,1000000
3,0,0,7078175.658649645,54415223.29915862,1000000
4,0,0,7085952.826828362,54554744.09275203,1000000
5,0,0,7097032.6938755,55125277.58769938,1000000
6,0,0,7099288.693409203,55167990.87972151,1000000
7,0,0,7103902.113981765,55214452.27615623,1000000
8,0,0,7106338.578634905,55261205.85316841,1000000
9,0,0,7114920.987909419,55611062.94196673,1000000
10,0,0,7118067.860561252,55447841.10814524,1000000
11,0,0,7121551.805276201,55707434.22325367,1000000
12,0,0,7124268.251918606,55650536.59911201,1000000
13,0,0,7126778.322925354,55560202.07013109,1000000
14,0,0,7131267.024379793,55759382.58626894,1000000
15,0,0,7132391.511423138,55567830.71159668,1000000
16,0,0,7135475.500781426,55743446.33206354,1000000
17,0,0,7143430.093008468,56100513.90445764,1000000
18,0,0,7142901.493541406,55838391.43275098,1000000
19,0,0,7148663.283536388,55975514.02045953,1000000
20,0,0,7154790.770385267,56337676.76185031,1000000
21,0,0,7160282.359793293,56423586.00110887,1000000
22,0,0,7161497.499511769,56431945.09728505,1000000
23,0,0,7167703.298319413,56698783.47876997,1000000
24,0,0,7171688.638252972,56818890.20807581,1000000
25,0,0,7176978.779487905,56991976.53475969,1000000
26,0,0,7176175.851528309,56741000.2086219,1000000
27,0,0,7181861.422849123,56965887.78168761,1000000
28,0,0,7187308.2203474,57273105.18729438,1000000
29,0,0,7188284.247862244,57055886.32553209,1000000
30,0,0,7194163.494654065,57387427.62290917,1000000
31,0,0,7196772.877238592,57286387.3151056,1000000
32,0,0,7196322.468277451,57155627.20375847,1000000
33,0,0,7203173.860179621,57369093.4294723,1000000
34,0,0,7208480.23957611,57822718.4811753,1000000
35,0,0,7210626.98089275,57596336.38779583,1000000
36,0,0,7214173.251953432,57667364.2773781,1000000
37,0,0,7222523.777009964,58068977.78551211,1000000
38,0,0,7223903.387098347,58221154.84516874,1000000
39,0,0,7227040.045233096,57980078.88296496,1000000
40,0,0,7228345.037243543,57994206.03672704,1000000
41,0,0,7237378.030411508,58337628.98402988,1000000
42,0,0,7240250.997275188,58410418.79932059,1000000
43,0,0,7247944.908853105,58697488.7547112,1000000
44,0,0,7250752.68240616,58888859.03849398,1000000
45,0,0,7254539.314164408,58751590.6853635,1000000
46,0,0,7258821.965206692,58982852.72967451,1000000
47,0,0,7263682.503959703,58932653.32860721,1000000
48,0,0,7266889.453741448,59177675.06389575,1000000
49,0,0,7274267.898551138,59440598.95283174,1000000
50,0,0,7276485.294537236,59255591.60189784,1000000
51,0,0,7283015.237380663,59555530.08931425,1000000
52,0,0,7284318.49377204,59471114.33757061,1000000
53,0,0,7293160.496425306,59731202.0612825,1000000
54,0,0,7294858.210269837,59717948.63673335,1000000
55,0,0,7304118.721780824,60011083.01142725,1000000
56,0,0,7305269.031437543,59917538.85942988,1000000
57,0,0,7311581.807880532,60102970.69654812,1000000
58,0,0,7316598.967371903,60304572.19872926,1000000
59,0,0,7325543.847724428,60464712.53104453,1000000
60,0,0,7328468.150387475,60514583.64053416,1000000
61,0,0,7333621.777890977,60657703.30766562,1000000
62,0,0,7339110.104401816,60954073.03321978,1000000
63,0,0,7344962.404611617,61003380.45022611,1000000
64,0,0,7348556.869719626,61007526.91611604,1000000
65,0,0,7358195.265528641,61265012.3175855,1000000
66,0,0,7364190.595723784,61511585.96595515,1000000
67,0,0,7369553.740629431,61567385.22249365,1000000
68,0,0,7374821.109357009,61737706.33575389,1000000
69,0,0,7381384.876737285,61692302.3327008,1000000
70,0,0,7384993.026127918,61876285.63072358,1000000
71,0,0,7392003.730281383,62011395.79862761,1000000
72,0,0,7397098.052381902,62135074.37170931,1000000
73,0,0,7401952.339547121,62013848.74780965,1000000
74,0,0,7414373.500387329,62918910.98958623,1000000
75,0,0,7418935.924204954,62743287.61488028,1000000
76,0,0,7421878.425467271,62827886.25901926,1000000
77,0,0,7430940.729927279,63000566.78835833,1000000
78,0,0,7437059.022734031,63099351.08672273,1000000
79,0,0,7446747.370287911,63238784.32259058,1000000
80,0,0,7451262.1144982,63471608.71087874,1000000
81,0,0,7462400.36358175,63853448.95423344,1000000
82,0,0,7465877.483886025,63715838.49687283,1000000
83,0,0,7471951.900413154,63847159.71172244,1000000
84,0,0,7477646.258339027,63944646.1403179,1000000
85,0,0,7489622.875091894,64485006.63638506,1000000
86,0,0,7493681.475269113,64585741.56108044,1000000
87,0,0,7501341.696633707,64710340.10699089,1000000
88,0,0,7507892.040801262,65085846.02282201,1000000
89,0,0,7518210.681973265,65052288.74484283,1000000
90,0,0,7524181.83593284,65283670.69040765,1000000
91,0,0,7535107.180159041,65751742.86713003,1000000
92,0,0,7543018.1550904,65995440.29518176,1000000
93,0,0,7548695.831894765,65572724.9090315,1000000
94,0,0,7554277.841673512,65725784.55537612,1000000
95,0,0,7566813.205114732,66262951.69078166,1000000
96,0,0,7574010.344687868,66483619.68344071,1000000
97,0,0,7578908.139673181,66238278.12377727,1000000
98,0,0,7589203.785049173,66607554.10919316,1000000
99,0,0,7602737.487071156,67322500.83792965,1000000
100,0,0,7605772.482009858,67213080.46498019,1000000
101,0,0,7614391.540432705,67305262.35685199,1000000
102,0,0,7620638.045362763,67283566.68290479,1000000
103,0,0,7633281.363041289,67858292.31044014,1000000
104,0,0,7640566.174476165,67752598.47412963,1000000
105,0,0,7652023.456337944,68074615.11538877,1000000
106,0,0,7659860.557470636,68383643.97903048,1000000
107,0,0,7669059.698715199,68512114.61735585,1000000
108,0,0,7678382.663323695,69011162.97120813,1000000
109,0,0,7688361.155994291,69129270.72947942,1000000
110,0,0,7697155.266195757,69306663.16282524,1000000
111,0,0,7707060.658244353,69451152.15240988,1000000
112,0,0,7715471.23713249,69453730.85525161,1000000
113,0,0,7727731.571712883,69769795.00580049,1000000
114,0,0,7739098.492511383,70360946.25859058,1000000
115,0,0,7748084.220694329,70131499.05744098,1000000
116,0,0,7757510.91869828,70473342.54018524,1000000
117,0,0,7770182.369027591,70801768.23511036,1000000
118,0,0,7781039.138238862,71127766.51493511,1000000
119,0,0,7791950.363297995,71301106.47557542,1000000
120,0,0,7797574.339450835,71087733.63215028,1000000
121,0,0,7812319.025319017,71641697.70515621,1000000
122,0,0,7826535.380645787,72182906.6883198,1000000
123,0,0,7839349.284128649,72516787.89095758,1000000
124,0,0,7852602.580818568,72837864.71476687,1000000
125,0,0,7864845.99759282,73065162.30621134,1000000
126,0,0,7871587.034879377,72794659.86549121,1000000
127,0,0,7889407.489242221,73591267.18313263,1000000
128,0,0,7895838.319517961,73565989.14921433,1000000
129,0,0,7910914.863200741,73817433.0379813,1000000
130,0,0,7922792.695044812,74280558.51358287,1000000
131,0,0,7939333.955371991,74726768.04943822,1000000
132,0,0,7953489.335019412,75132619.91833511,1000000
133,0,0,7965375.210834472,75219580.10071598,1000000
134,0,0,7979377.257815608,75562210.72834687,1000000
135,0,0,7995287.224384286,76028642.02233724,1000000
136,0,0,8006734.382040132,76113861.60843341,1000000
137,0,0,8025674.071207324,76667910.84633169,1000000
138,0,0,8043300.407819212,77317830.20270629,1000000
139,0,0,8059494.223273853,77788411.18562254,1000000
140,0,0,8074922.937937287,78170558.82469238,1000000
141,0,0,8088127.193192743,78470294.73131499,1000000
142,0,0,8099038.158940477,78592566.63381326,1000000
143,0,0,8111770.82862215,78480943.62057675,1000000
144,0,0,8131736.229651744,79372281.37592569,1000000
145,0,0,8147258.620686315,79567005.53224829,1000000
146,0,0,8166492.27401901,80364423.16402648,1000000
147,0,0,8184751.670910639,80915601.35189222,1000000
148,0,0,8197038.116052264,81043443.88003521,1000000
149,0,0,8215322.580066489,81360184.16962087,1000000
150,0,0,8231469.087892761,81821270.13095567,1000000
151,0,0,8249880.437010774,82255510.65180781,1000000
152,0,0,8268020.314532666,82860083.85221267,1000000
153,0,0,8284353.07020661,83003701.34503847,1000000
154,0,0,8299017.28706886,83230452.38696635,1000000
155,0,0,8319779.727707257,83678639.58971782,1000000
156,0,0,8338074.899030148,84248316.86707506,1000000
157,0,0,8362536.764044532,85024093.3375048,1000000
158,0,0,8386008.378169091,85965279.70689771,1000000
159,0,0,8406272.788259413,86269642.96350151,1000000
160,0,0,8419581.148951164,86330218.33067966,1000000
161,0,0,8443822.733901242,86790171.10962869,1000000
162,0,0,8462821.428242793,87227892.41160876,1000000
163,0,0,8483725.846663013,87522645.96015361,1000000
164,0,0,8509266.913515855,88594366.7255961,1000000
165,0,0,8538248.543294281,89501709.75489804,1000000
166,0,0,8555392.175325468,89506628.04554117,1000000
167,0,0,8582477.601165712,90474150.55655611,1000000
168,0,0,8607457.41093152,90889635.23917204,999999
169,0,0,8634403.693004962,91791654.73985928,999998
170,0,0,8658583.937867016,92234021.84259966,999998
171,0,0,8684901.414788753,92952908.08355883,999997
172,0,0,8709143.002735367,93384764.22637835,999998
173,0,0,8735919.402431741,93987959.78789547,999996
174,0,0,8764024.148750208,94764707.94779605,999993
175,0,0,8790027.881413374,95075038.2808919,999992
176,0,0,8823642.229264347,96524133.32470475,999987
177,0,0,8859526.454920936,97657451.71899807,999987
178,0,0,8888001.687384184,98431969.93346199,999987
179,0,0,8918458.924308138,98935253.77382647,999987
180,0,0,8945086.795031726,99526608.9621186,999986
181,0,0,8977591.490027411,100325636.4672693,999984
182,0,0,9013721.14508483,101662659.3924707,999982
183,0,0,9045149.135640506,102102008.3533773,999980
184,0,0,9079962.411105452,103092148.1967814,999979
185,0,0,9110377.194975907,103288737.52331,999977
186,0,0,9151792.419005528,104840802.9176351,999973
187,0,0,9191907.012577647,105984187.8947457,999970
188,0,0,9234533.026146475,107457986.7157586,999969
189,0,0,9277472.698763253,108680584.5490217,999968
190,0,0,9314537.217222378,108914703.8894129,999963
191,0,0,9359617.506992158,110598052.0644993,999962
192,0,0,9402941.501632908,111666506.3113382,999956
193,0,0,9449551.171155723,112993541.4678326,999951
194,0,0,9495982.583448343,114216431.3479329,999949
195,0,0,9548747.039611731,115708197.8249656,999945
196,0,0,9594274.785568643,117022891.6252255,999944
197,0,0,9643225.37807891,118255161.5570801,999938
198,0,0,9699163.903214661,120265024.2087389,999935
199,0,0,9750376.075587159,121491407.5486133,999930
200,0,0,9802472.555648442,122649756.0022375,999923
201,0,0,9862189.948646866,124721346.9049406,999913
202,0,0,9921269.686468942,126435220.3422327,999905
203,0,0,9986923.577597978,128811487.6631232,999896
204,0,0,10046120.48901379,130607464.8895428,999886
205,0,0,10103684.95759238,131851685.4260604,999873
206,0,0,10174137.32834233,134416820.0413164,999859
207,0,0,10241735.91142547,136578562.7798313,999832
208,0,0,10310502.1949091,138763545.7428052,999813
209,0,0,10377833.04591813,140779327.4174367,999782
210,0,0,10448643.60556385,142735055.4197435,999751
211,0,0,10522460.69625089,144974149.2990375,999716
212,0,0,10606248.80455681,147922350.1352904,999689
213,0,0,10686008.88868432,150377439.666917,999662
214,0,0,10772127.64716885,153360103.6239862,999629
215,0,0,10856919.32045157,156173203.2757378,999592
216,0,0,10947221.31676101,159320433.3446663,999534
217,0,0,11035741.83359142,162171294.0099729,999489
218,0,0,11138121.18841216,166237996.4939944,999437
219,0,0,11234649.08403578,168914111.492195,999376
220,0,0,11343648.24122025,173293864.9348261,999304
221,0,0,11453905.91869505,177293192.532615,999204
222,0,0,11572542.256403,182130729.9869412,999123
223,0,0,11686814.3014337,186280659.6354821,998997
224,0,0,11815445.85405752,191144154.8457248,998872
225,0,0,11945205.64653927,196383289.439507,998723
226,0,0,12085309.59337499,202253274.5387238,998549
227,0,0,12236240.63789924,208637838.16001,998332
228,0,0,12391953.19066294,214541071.0850284,998094
229,0,0,12607854.46283047,224102793.5126174,997808
230,0,0,12777882.76834156,231631843.3896051,997474
231,0,0,12958393.80705783,239394447.4499338,997060
232,0,0,13147656.4276071,248367399.1724607,996596
233,0,0,13337453.75902069,257000845.4052695,996028
234,0,0,13536278.97146521,266288755.4827946,995402
235,0,0,13737045.70243804,275236374.8681343,994625
236,0,0,13947764.13833047,284024212.625613,993852
237,0,0,14183598.88865852,294645938.400333,993094
238,0,0,14435414.64569195,306242258.7443367,992314
239,0,0,14701288.32254283,318340116.5970337,991513
240,0,0,15013408.30831623,333706883.7305415,990679
241,0,0,15353885.35577541,350885820.290049,989823
242,0,0,15732258.9480063,370695758.974942,988989
243,0,0,16155233.50647484,392777586.8615481,988143
244,0,0,16625474.04446226,418158074.0698217,987221
245,0,0,17161451.91992255,447272270.7950868,986241
246,0,0,17798315.97319969,483709748.6189601,985295
247,0,0,18547457.78661646,529343092.5605715,984274
248,0,0,19437679.43316577,585716629.0991703,983266
249,0,0,20541380.86185976,660977273.6620685,982109
250,0,0,21936338.82728155,762880484.1472696,981016
251,0,0,23856007.58342031,917167162.3688157,979636
